,YearMonth,Tonnes
278,202409.0,0.054
279,202409.0,1.476
280,202409.0,1.944
281,202410.0,0.0358
282,202410.0,0.064
283,202410.0,0.2244
284,202410.0,1.6456
285,202410.0,0.648
286,202410.0,1.638
287,202410.0,1.274
288,202410.0,0.252
289,202410.0,0.504
290,202410.0,0.036
291,202410.0,0.12
292,202410.0,0.30479999999999996
293,202410.0,0.15239999999999998
294,202410.0,0.14160000000000003
295,202410.0,0.1062
296,202410.0,0.14160000000000003
297,202410.0,0.354
298,202410.0,0.054
299,202410.0,0.054
300,202410.0,0.054
301,202410.0,0.2725
302,202410.0,0.0448
303,202410.0,0.224
304,202410.0,2.142
305,202410.0,0.032
306,202409.0,0.174
307,202409.0,0.174
308,202409.0,0.48240000000000005
309,202409.0,0.8304000000000001
310,202409.0,2.3316000000000003
311,202409.0,0.032
312,202409.0,
313,202409.0,
314,202409.0,
315,202409.0,
316,202410.0,2.28
317,202410.0,2.184
318,202410.0,1.456
319,202410.0,0.756
320,202410.0,1.755
321,202410.0,0.36
322,202410.0,
323,202410.0,0.567
324,202410.0,0.702
325,202410.0,2.142
326,202410.0,2.142
327,202412.0,0.38
328,202412.0,0.10959999999999999
329,202412.0,0.054799999999999995
330,202412.0,
331,202412.0,0.0348
332,202412.0,0.522
333,202412.0,0.123
334,202412.0,0.204
335,202410.0,0.102
336,202410.0,
337,202410.0,0.44
338,202410.0,
339,202410.0,0.7175999999999999
340,202409.0,0.032
341,202409.0,0.212
342,202409.0,0.92
343,202409.0,
344,202409.0,0.184
345,202409.0,0.152
346,202409.0,0.372
347,202412.0,0.714
348,202412.0,0.332
349,202412.0,0.924
350,202409.0,0.032
351,202409.0,2.1708000000000003
352,202409.0,0.038400000000000004
353,202409.0,0.8996000000000001
354,202409.0,1.1256000000000002
355,202409.0,0.032
356,202409.0,0.65
357,202409.0,0.15
358,202409.0,0.354
359,202409.0,0.27257
360,202409.0,
361,202409.0,
362,202409.0,0.504
363,202409.0,0.324
364,202409.0,0.07080000000000002
365,202409.0,1.872
366,202409.0,1.872
367,202410.0,2.09
368,202410.0,0.546
